# x y nx ny
1.351103010033444907e+00 2.017651266171351931e+00 7.023474718987215981e-01 -7.118342705415879879e-01
1.364480267558528359e+00 2.030783134908334286e+00 6.987013045803388556e-01 -7.154135076847043528e-01
1.377857525083612034e+00 2.043780790381148016e+00 6.949998656737792491e-01 -7.190098655188458254e-01
1.391234782608695930e+00 2.056644232589792232e+00 6.912423341594037263e-01 -7.226230244504108224e-01
1.404612040133779161e+00 2.069373461534266934e+00 6.874278834444342845e-01 -7.262526454775262152e-01
1.417989297658862835e+00 2.081968477214572566e+00 6.835556818038455162e-01 -7.298983695513231451e-01
1.431366555183946510e+00 2.094429279630708685e+00 6.796248927833006270e-01 -7.335598169946928593e-01
1.444743812709030184e+00 2.106755868782675734e+00 6.756346756963821365e-01 -7.372365868543453438e-01
1.458121070234113414e+00 2.118948244670473269e+00 6.715841860769979910e-01 -7.409282563185831672e-01
1.471498327759197089e+00 2.131006407294101734e+00 6.674725762872759649e-01 -7.446343800177551708e-01
1.484875585284280985e+00 2.142930356653560686e+00 6.632989960140943664e-01 -7.483544894544927883e-01
1.498252842809364438e+00 2.154720092748850568e+00 6.590625928884433771e-01 -7.520880923503323601e-01
1.511630100334448112e+00 2.166375615579971381e+00 6.547625131730741010e-01 -7.558346719642331513e-01
1.525007357859531787e+00 2.177896925146922236e+00 6.503979023473301924e-01 -7.595936865339211197e-01
1.538384615384615461e+00 2.189284021449704465e+00 6.459679059468795836e-01 -7.633645685297446581e-01
1.551761872909699136e+00 2.200536904488316736e+00 6.414716701854044079e-01 -7.671467241340131915e-01
1.565139130434782588e+00 2.211655574262759938e+00 6.369083428732741359e-01 -7.709395325046056735e-01
1.578516387959866485e+00 2.222640030773034070e+00 6.322770741619380130e-01 -7.747423452278950906e-01
1.591893645484950159e+00 2.233490274019138688e+00 6.275770175063333234e-01 -7.785544856320947282e-01
1.605270903010033390e+00 2.244206304001073793e+00 6.228073305375316782e-01 -7.823752482208993220e-01
1.618648160535117064e+00 2.254788120718839828e+00 6.179671760565506045e-01 -7.862038980548825551e-01
1.632025418060200739e+00 2.265235724172436349e+00 6.130557230795232737e-01 -7.900396701428622492e-01
1.645402675585284413e+00 2.275549114361863801e+00 6.080721478283007686e-01 -7.938817689275129430e-01
